Point1,Point2,Point3,Point4
0.11919472,2.303648,2.303648,4.607296
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1.4214504,0,0,0
0,0,0,0
0,1.2006133,1.2006133,2.4012266
4.3858156,1.2451346,1.2451346,2.4902692
0.70008713,3.8412454,3.8412454,7.6824908
0,0.5130561,0.5130561,1.0261122
0.8004783,10.784359,10.784359,21.568718
0,0.75806963,0.75806963,1.51613926
0,0,0,0
0.5082274,1.2246832,1.2246832,2.4493664
0,0.738839,0.738839,1.477678
0,0,0,0
0,4.433034,4.433034,8.866068
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3.411481,0,0,0
0.7215342,1.941667,1.941667,3.883334
1.0702176,0.51414984,0.51414984,1.02829968
0,0.23076773,0.23076773,0.46153546
9.192045,0,0,0
3.245303,7.122551,7.122551,14.245102
0.9841438,3.9908698,3.9908698,7.9817396
0.5386902,1.4093931,1.4093931,2.8187862
1.5704509,2.566978,2.566978,5.133956
4.1991587,2.3717058,2.3717058,4.7434116
1.3152517,13.005026,13.005026,26.010052
1.2753458,9.755189,9.755189,19.510378
5.334738,8.589519,8.589519,17.179038
10.023011,8.223511,8.223511,16.447022
0.6533779,10.169832,10.169832,20.339664
0,0.738839,0.738839,1.477678
0,0,0,0
0.54518324,0.9924901,0.9924901,1.9849802
1.466547,0,0,0
1.0899659,1.9519764,1.9519764,3.9039528
1.6550287,1.7267619,1.7267619,3.4535238
0,0.83499223,0.83499223,1.66998446
0,0.5451071,0.5451071,1.0902142
1.9001706,0,0,0
2.585292,8.33726,8.33726,16.67452
1.2338489,14.389695,14.389695,28.77939
0.30040038,12.969212,12.969212,25.938424
0,0,0,0
0.32897037,1.689863,1.689863,3.379726
0.5586199,0.21637636,0.21637636,0.43275272
1.9260763,1.4094872,1.4094872,2.8189744
0.13615155,2.5204089,2.5204089,5.0408178
0,1.2585714,1.2585714,2.5171428
0,1.0068815,1.0068815,2.013763
4.661102,4.785934,4.785934,9.571868
1.4686909,2.1421516,2.1421516,4.2843032
1.4959364,1.944948,1.944948,3.889896
1.2843227,1.2807692,1.2807692,2.5615384
2.2154193,0.94847995,0.94847995,1.8969599
5.554634,5.2759295,5.2759295,10.551859
3.2612262,2.7535574,2.7535574,5.5071148
0.36988232,5.967956,5.967956,11.935912
0.6299351,6.161156,6.161156,12.322312
0,1.3055792,1.3055792,2.6111584
3.1580002,1.4172623,1.4172623,2.8345246
0.5621551,3.1099741,3.1099741,6.2199482
0,0,0,0
0,0,0,0
0,0,0,0
0.1901645,0.4743559,0.4743559,0.9487118
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
